
"RM130 - Tenure by car or van availability by ethnic group of Household Reference Person"
"ONS Crown Copyright Reserved [from Nomis on 16 April 2025]"
"Population :","All Household Reference Persons"
"Units      :","Persons"
"Date       :","2021"
"Ethnic group:","Total"
"Tenure of household:","Total"

"2021 super output area - middle layer","mnemonic","Total","No cars or vans in household"

"Barking and Dagenham 001","E02000002",2868,914
"Barking and Dagenham 002","E02000003",3929,1156
"Barking and Dagenham 003","E02000004",2306,545
"Barking and Dagenham 004","E02000005",3631,1020
"Barking and Dagenham 006","E02000007",3671,1372
"Barking and Dagenham 007","E02000008",4620,1505
"Barking and Dagenham 008","E02000009",4243,1454
"Barking and Dagenham 009","E02000010",3324,1108
"Barking and Dagenham 010","E02000011",2351,701
"Barking and Dagenham 011","E02000012",3286,767
"Barking and Dagenham 012","E02000013",3254,1111
"Barking and Dagenham 013","E02000014",3397,1167
"Barking and Dagenham 014","E02000015",3034,1183
"Barking and Dagenham 015","E02000016",3813,2314
"Barking and Dagenham 016","E02000017",2771,1128
"Barking and Dagenham 017","E02000018",3236,1140
"Barking and Dagenham 018","E02000019",3207,1002
"Barking and Dagenham 019","E02000020",4671,1637
"Barking and Dagenham 020","E02000021",2929,976
"Barking and Dagenham 021","E02000022",2793,1344
"Barking and Dagenham 022","E02000023",2661,996
"Barking and Dagenham 023","E02006799",3891,1137
"Barnet 001","E02000024",4472,1082
"Barnet 002","E02000025",3738,964
"Barnet 003","E02000026",2517,378
"Barnet 004","E02000027",3677,969
"Barnet 005","E02000028",2695,615
"Barnet 006","E02000029",3706,945
"Barnet 007","E02000030",3518,461
"Barnet 008","E02000031",3323,708
"Barnet 009","E02000032",2737,374
"Barnet 010","E02000033",3492,883
"Barnet 011","E02000034",3588,958
"Barnet 012","E02000035",3533,1102
"Barnet 013","E02000036",3945,815
"Barnet 014","E02000037",3721,634
"Barnet 015","E02000038",4009,1044
"Barnet 016","E02000039",2674,490
"Barnet 017","E02000040",3507,776
"Barnet 018","E02000041",3320,982
"Barnet 019","E02000042",4718,1829
"Barnet 020","E02000043",2670,497
"Barnet 021","E02000044",3063,871
"Barnet 022","E02000045",4202,1447
"Barnet 023","E02000046",2883,1070
"Barnet 024","E02000047",4202,1509
"Barnet 025","E02000048",3950,757
"Barnet 026","E02000049",3793,1463
"Barnet 027","E02000050",4032,1348
"Barnet 028","E02000051",3791,1105
"Barnet 029","E02000052",4187,1541
"Barnet 031","E02000054",2967,926
"Barnet 032","E02000055",4506,1842
"Barnet 033","E02000056",3441,663
"Barnet 034","E02000057",2718,865
"Barnet 035","E02000058",4094,1307
"Barnet 036","E02000059",4434,1764
"Barnet 037","E02000060",3696,1205
"Barnet 038","E02000061",3574,1484
"Barnet 039","E02000062",2612,1220
"Barnet 040","E02000063",2838,1040
"Barnet 041","E02000064",2766,1273
"Barnet 042","E02006953",3852,1845
"Barnet 043","E02006954",3720,1522
"Bexley 001","E02000065",2780,956
"Bexley 002","E02000066",3549,1416
"Bexley 003","E02000067",3982,1259
"Bexley 004","E02000068",3191,1163
"Bexley 005","E02000069",2806,716
"Bexley 006","E02000070",3140,581
"Bexley 007","E02000071",2835,613
"Bexley 008","E02000072",4684,1401
"Bexley 009","E02000073",3957,585
"Bexley 010","E02000074",3504,932
"Bexley 011","E02000075",3147,505
"Bexley 013","E02000077",2937,567
"Bexley 014","E02000078",3021,470
"Bexley 015","E02000079",3583,985
"Bexley 016","E02000080",3812,792
"Bexley 017","E02000081",3282,708
"Bexley 018","E02000082",3438,536
"Bexley 019","E02000083",4452,963
"Bexley 020","E02000084",4194,587
"Bexley 021","E02000085",3075,501
"Bexley 022","E02000086",2786,349
"Bexley 023","E02000087",3323,512
"Bexley 024","E02000088",2963,389
"Bexley 025","E02000089",2906,383
"Bexley 026","E02000090",4201,1126
"Bexley 027","E02000091",4449,1104
"Bexley 028","E02000092",2720,658
"Bexley 029","E02006785",2579,579
"Brent 001","E02000093",3743,928
"Brent 002","E02000094",3464,1015
"Brent 003","E02000095",3178,833
"Brent 004","E02000096",2499,486
"Brent 005","E02000097",3038,760
"Brent 006","E02000098",2882,864
"Brent 007","E02000099",2915,842
"Brent 008","E02000100",2570,553
"Brent 009","E02000101",3391,1311
"Brent 010","E02000102",2685,1006
"Brent 011","E02000103",3459,1328
"Brent 012","E02000104",2414,770
"Brent 013","E02000105",3110,1121
"Brent 014","E02000106",3586,1663
"Brent 015","E02000107",4358,2458
"Brent 016","E02000108",2274,703
"Brent 018","E02000110",3090,1412
"Brent 019","E02000111",3193,1291
"Brent 020","E02000112",3495,1689
"Brent 021","E02000113",3288,1527
"Brent 022","E02000114",3716,2222
"Brent 023","E02000115",3874,2183
"Brent 024","E02000116",3244,1889
"Brent 025","E02000117",4764,2645
"Brent 026","E02000118",3155,1288
"Brent 027","E02000119",3952,1984
"Brent 028","E02000120",4239,2633
"Brent 029","E02000121",3625,1595
"Brent 030","E02000122",3154,1197
"Brent 031","E02000123",5536,3362
"Brent 032","E02000124",4163,2083
"Brent 033","E02000125",3941,1747
"Brent 034","E02000126",3408,2118
"Brent 035","E02006955",2712,1781
"Brent 036","E02006956",2509,996
"Bromley 001","E02000127",3789,1199
"Bromley 002","E02000128",3070,505
"Bromley 004","E02000130",3671,1337
"Bromley 005","E02000131",5068,2401
"Bromley 006","E02000132",4949,1680
"Bromley 007","E02000133",4326,484
"Bromley 008","E02000134",5299,1758
"Bromley 009","E02000135",4445,2231
"Bromley 010","E02000136",2293,442
"Bromley 011","E02000137",3678,783
"Bromley 012","E02000138",4134,1041
"Bromley 013","E02000139",3312,919
"Bromley 014","E02000140",3333,943
"Bromley 015","E02000141",3085,992
"Bromley 016","E02000142",3451,647
"Bromley 018","E02000144",4311,1327
"Bromley 019","E02000145",3513,982
"Bromley 020","E02000146",4033,971
"Bromley 021","E02000147",3173,472
"Bromley 022","E02000148",2701,397
"Bromley 023","E02000149",3282,735
"Bromley 024","E02000150",3113,457
"Bromley 025","E02000151",2967,364
"Bromley 026","E02000152",3098,699
"Bromley 027","E02000153",2898,304
"Bromley 028","E02000154",3573,807
"Bromley 029","E02000155",3039,559
"Bromley 030","E02000156",4860,773
"Bromley 031","E02000157",3276,387
"Bromley 032","E02000158",3037,611
"Bromley 033","E02000159",2818,281
"Bromley 034","E02000160",3040,363
"Bromley 035","E02000161",3348,405
"Bromley 036","E02000162",2960,593
"Bromley 037","E02000163",3071,366
"Bromley 039","E02000165",2742,215
"Bromley 040","E02006782",3194,708
"Bromley 041","E02006787",3095,647
"Bromley 042","E02006789",2788,315
"Camden 001","E02000166",3400,1691
"Camden 002","E02000167",3373,1572
"Camden 003","E02000168",3493,1958
"Camden 004","E02000169",3024,1222
"Camden 005","E02000170",3468,1825
"Camden 006","E02000171",3337,1819
"Camden 007","E02000172",4027,2662
"Camden 008","E02000173",3496,2064
"Camden 009","E02000174",3544,2311
"Camden 010","E02000175",4310,2709
"Camden 011","E02000176",2996,1787
"Camden 012","E02000177",3654,2362
"Camden 013","E02000178",4165,2762
"Camden 014","E02000179",2547,1397
"Camden 015","E02000180",3516,2345
"Camden 016","E02000181",3751,2197
"Camden 017","E02000182",3087,1793
"Camden 018","E02000183",3617,2083
"Camden 019","E02000184",3635,2648
"Camden 020","E02000185",4063,2857
"Camden 021","E02000186",2944,2042
"Camden 022","E02000187",3821,2822
"Camden 023","E02000188",2719,1964
"Camden 026","E02000191",2104,1703
"Camden 027","E02000192",3087,2357
"Camden 028","E02000193",3097,2542
"Camden 029","E02007115",4468,3532
"City of London 001","E02000001",4912,3792
"Croydon 001","E02000194",4202,1766
"Croydon 002","E02000195",3489,842
"Croydon 003","E02000196",2817,988
"Croydon 004","E02000197",3322,1163
"Croydon 005","E02000198",3489,1424
"Croydon 006","E02000199",3208,1083
"Croydon 007","E02000200",3992,1761
"Croydon 008","E02000201",3821,1855
"Croydon 009","E02000202",3034,1000
"Croydon 010","E02000203",3120,1539
"Croydon 011","E02000204",3220,1150
"Croydon 013","E02000206",4456,2084
"Croydon 014","E02000207",3560,1347
"Croydon 015","E02000208",4092,1975
"Croydon 016","E02000209",3064,967
"Croydon 017","E02000210",3440,1105
"Croydon 018","E02000211",3290,484
"Croydon 019","E02000212",3260,1372
"Croydon 020","E02000213",5391,3136
"Croydon 021","E02000214",2323,545
"Croydon 022","E02000215",5250,2657
"Croydon 023","E02000216",2944,1010
"Croydon 024","E02000217",5019,2429
"Croydon 025","E02000218",2354,625
"Croydon 026","E02000219",2981,444
"Croydon 028","E02000221",3981,1245
"Croydon 029","E02000222",3634,1102
"Croydon 030","E02000223",2790,1096
"Croydon 031","E02000224",3276,942
"Croydon 032","E02000225",2657,705
"Croydon 033","E02000226",2779,347
"Croydon 034","E02000227",4836,941
"Croydon 035","E02000228",3010,335
"Croydon 036","E02000229",2237,739
"Croydon 037","E02000230",4236,1095
"Croydon 038","E02000231",2747,291
"Croydon 039","E02000232",2375,311
"Croydon 040","E02000233",2392,408
"Croydon 041","E02000234",3725,787
"Croydon 042","E02000235",2656,325
"Croydon 043","E02000236",3297,342
"Croydon 044","E02000237",3034,493
"Croydon 045","E02006788",2895,926
"Croydon 046","E02006987",3882,2639
"Croydon 047","E02006988",3307,1578
"Ealing 001","E02000238",3744,1055
"Ealing 002","E02000239",2930,624
"Ealing 003","E02000240",3900,1199
"Ealing 004","E02000241",2602,657
"Ealing 005","E02000242",2236,527
"Ealing 006","E02000243",3128,955
"Ealing 007","E02000244",2938,897
"Ealing 008","E02000245",3351,1193
"Ealing 009","E02000246",3069,844
"Ealing 010","E02000247",3891,1126
"Ealing 011","E02000248",2992,1047
"Ealing 012","E02000249",2905,941
"Ealing 013","E02000250",2548,581
"Ealing 014","E02000251",2544,555
"Ealing 015","E02000252",4410,2507
"Ealing 016","E02000253",3840,1464
"Ealing 017","E02000254",2613,635
"Ealing 018","E02000255",3793,1197
"Ealing 019","E02000256",4020,1683
"Ealing 021","E02000258",2608,989
"Ealing 022","E02000259",2400,674
"Ealing 023","E02000260",2758,1043
"Ealing 024","E02000261",4978,2644
"Ealing 025","E02000262",3947,2048
"Ealing 026","E02000263",3644,1433
"Ealing 027","E02000264",3546,1392
"Ealing 028","E02000265",4733,2235
"Ealing 029","E02000266",4292,1541
"Ealing 030","E02000267",3224,1152
"Ealing 031","E02000268",3864,1412
"Ealing 032","E02000269",3304,1085
"Ealing 033","E02000270",4119,2248
"Ealing 034","E02000271",2981,1032
"Ealing 035","E02000272",2537,628
"Ealing 038","E02000275",2342,852
"Ealing 039","E02000276",2720,989
"Ealing 040","E02006791",3450,1525
"Ealing 041","E02006968",3565,1371
"Ealing 042","E02006969",2975,1534
"Ealing 043","E02006970",2030,980
"Ealing 044","E02006971",2222,723
"Enfield 001","E02000277",2617,725
"Enfield 002","E02000278",3337,1100
"Enfield 003","E02000279",4419,1397
"Enfield 004","E02000280",3416,852
"Enfield 005","E02000281",3547,962
"Enfield 006","E02000282",3474,1333
"Enfield 007","E02000283",2807,706
"Enfield 008","E02000284",3615,998
"Enfield 009","E02000285",2455,385
"Enfield 010","E02000286",4004,974
"Enfield 011","E02000287",2874,512
"Enfield 012","E02000288",4057,1433
"Enfield 013","E02000289",2429,292
"Enfield 014","E02000290",2526,1040
"Enfield 015","E02000291",4327,1583
"Enfield 016","E02000292",3573,921
"Enfield 017","E02000293",2491,394
"Enfield 018","E02000294",3080,962
"Enfield 019","E02000295",3350,754
"Enfield 020","E02000296",4031,1311
"Enfield 021","E02000297",3474,624
"Enfield 022","E02000298",3058,491
"Enfield 023","E02000299",3320,1408
"Enfield 024","E02000300",3004,1148
"Enfield 025","E02000301",3723,1635
"Enfield 026","E02000302",3107,704
"Enfield 027","E02000303",2976,1272
"Enfield 028","E02000304",2906,452
"Enfield 029","E02000305",3455,990
"Enfield 030","E02000306",3402,1792
"Enfield 031","E02000307",3345,975
"Enfield 032","E02000308",3215,1121
"Enfield 033","E02000309",3992,1768
"Enfield 035","E02000311",3628,1112
"Enfield 036","E02000312",4493,1828
"Enfield 037","E02006793",3394,1563
"Greenwich 001","E02000313",2596,1212
"Greenwich 002","E02000314",4532,1707
"Greenwich 003","E02000315",3488,1426
"Greenwich 005","E02000317",2823,1386
"Greenwich 006","E02000318",3583,1679
"Greenwich 007","E02000319",3919,1767
"Greenwich 008","E02000320",2563,948
"Greenwich 009","E02000321",2959,1460
"Greenwich 011","E02000323",4819,2652
"Greenwich 012","E02000324",2860,1268
"Greenwich 014","E02000326",3049,1166
"Greenwich 015","E02000327",2637,1275
"Greenwich 016","E02000328",2943,1244
"Greenwich 017","E02000329",2459,872
"Greenwich 019","E02000331",3189,1215
"Greenwich 020","E02000332",2997,870
"Greenwich 021","E02000333",2890,1042
"Greenwich 022","E02000334",2545,681
"Greenwich 023","E02000335",2585,593
"Greenwich 025","E02000337",3088,932
"Greenwich 027","E02000339",2586,811
"Greenwich 028","E02000340",3018,1020
"Greenwich 029","E02000341",2931,966
"Greenwich 030","E02000342",2344,741
"Greenwich 031","E02000343",2696,739
"Greenwich 032","E02000344",2444,444
"Greenwich 033","E02006786",2881,1080
"Greenwich 034","E02006927",5081,1902
"Greenwich 035","E02006928",5266,3375
"Greenwich 037","E02006930",4215,2124
"Greenwich 038","E02006931",4141,2001
"Greenwich 039","E02006991",3225,2087
"Greenwich 040","E02006992",3766,2213
"Greenwich 041","E02006993",3618,2303
"Greenwich 042","E02006994",3291,1978
"Hackney 001","E02000345",2585,1429
"Hackney 002","E02000346",3975,2775
"Hackney 003","E02000347",2589,1490
"Hackney 004","E02000348",2719,1672
"Hackney 006","E02000350",3695,2263
"Hackney 007","E02000351",4234,2801
"Hackney 008","E02000352",2684,1524
"Hackney 009","E02000353",3156,1812
"Hackney 010","E02000354",3992,2493
"Hackney 011","E02000355",3108,1722
"Hackney 012","E02000356",3056,1787
"Hackney 013","E02000357",2720,1701
"Hackney 014","E02000358",4817,3246
"Hackney 015","E02000359",2443,1273
"Hackney 016","E02000360",4849,3262
"Hackney 017","E02000361",3677,2596
"Hackney 018","E02000362",2810,1683
"Hackney 019","E02000363",4434,3005
"Hackney 020","E02000364",4098,2638
"Hackney 022","E02000366",3543,2081
"Hackney 023","E02000367",4596,3110
"Hackney 024","E02000368",4159,2736
"Hackney 025","E02000369",5930,4169
"Hackney 026","E02000370",3990,2849
"Hackney 028","E02006918",3172,1939
"Hackney 029","E02006921",2786,1709
"Hackney 030","E02007108",2811,2117
"Hackney 031","E02007109",3304,2050
"Hackney 032","E02007110",3359,2638
"Hackney 033","E02007111",2824,2286
"Hammersmith and Fulham 001","E02000372",3879,2418
"Hammersmith and Fulham 002","E02000373",2535,1545
"Hammersmith and Fulham 003","E02000374",2617,1330
"Hammersmith and Fulham 004","E02000375",3499,2315
"Hammersmith and Fulham 005","E02000376",3185,2130
"Hammersmith and Fulham 006","E02000377",3449,2021
"Hammersmith and Fulham 007","E02000378",3246,2172
"Hammersmith and Fulham 008","E02000379",3099,1413
"Hammersmith and Fulham 009","E02000380",2502,1257
"Hammersmith and Fulham 010","E02000381",3548,2040
"Hammersmith and Fulham 011","E02000382",2769,1507
"Hammersmith and Fulham 012","E02000383",4117,2775
"Hammersmith and Fulham 013","E02000384",3808,2584
"Hammersmith and Fulham 014","E02000385",2854,1888
"Hammersmith and Fulham 015","E02000386",3362,2215
"Hammersmith and Fulham 016","E02000387",2590,1614
"Hammersmith and Fulham 017","E02000388",4130,2529
"Hammersmith and Fulham 018","E02000389",3669,1735
"Hammersmith and Fulham 019","E02000390",2711,1414
"Hammersmith and Fulham 020","E02000391",3278,1603
"Hammersmith and Fulham 021","E02000392",4040,2162
"Hammersmith and Fulham 022","E02000393",2591,1187
"Hammersmith and Fulham 023","E02000394",4350,2364
"Hammersmith and Fulham 024","E02000395",2632,1205
"Hammersmith and Fulham 025","E02000396",2769,1249
"Haringey 001","E02000397",3473,1882
"Haringey 002","E02000398",2874,1650
"Haringey 004","E02000400",3128,1263
"Haringey 005","E02000401",2477,1097
"Haringey 006","E02000402",2430,1162
"Haringey 007","E02000403",2991,1745
"Haringey 008","E02000404",2666,1414
"Haringey 009","E02000405",2463,670
"Haringey 010","E02000406",2601,1463
"Haringey 011","E02000407",3009,1856
"Haringey 012","E02000408",2997,1770
"Haringey 013","E02000409",2370,1294
"Haringey 014","E02000410",2612,961
"Haringey 015","E02000411",3949,2295
"Haringey 016","E02000412",2868,1872
"Haringey 017","E02000413",2966,1017
"Haringey 018","E02000414",2717,1558
"Haringey 019","E02000415",2841,1665
