
"RM130 - Tenure by car or van availability by ethnic group of Household Reference Person"
"ONS Crown Copyright Reserved [from Nomis on 25 March 2025]"
"Population :","All Household Reference Persons"
"Units      :","Persons"
"Date       :","2021"
"Tenure of household:","Owned: Owns outright"
"Number of cars or vans:","No cars or vans in household"

"2021 super output area - middle layer","mnemonic","Asian, Asian British or Asian Welsh","Black, Black British, Black Welsh, Caribbean or African","Mixed or Multiple ethnic groups","White","Other ethnic group"

"Richmond upon Thames 001","E02000784",13,1,5,186,8
"Richmond upon Thames 002","E02000785",17,0,5,276,7
"Richmond upon Thames 003","E02000786",12,2,7,257,8
"Richmond upon Thames 004","E02000787",27,3,6,204,11
"Richmond upon Thames 005","E02000788",15,1,6,206,4
"Richmond upon Thames 006","E02000789",10,3,7,195,3
"Richmond upon Thames 007","E02000790",5,2,2,144,2
"Richmond upon Thames 008","E02000791",9,2,3,203,5
"Richmond upon Thames 009","E02000792",8,1,3,195,3
"Richmond upon Thames 010","E02000793",19,2,0,206,2
"Richmond upon Thames 011","E02000794",11,3,1,148,1
"Richmond upon Thames 012","E02000795",9,0,3,149,6
"Richmond upon Thames 013","E02000796",18,5,0,188,3
"Richmond upon Thames 014","E02000797",4,0,5,225,2
"Richmond upon Thames 015","E02000798",11,3,5,241,4
"Richmond upon Thames 016","E02000799",6,2,0,138,1
"Richmond upon Thames 017","E02000800",9,1,2,129,2
"Richmond upon Thames 018","E02000801",12,0,2,154,0
"Richmond upon Thames 019","E02000802",7,0,2,182,3
"Richmond upon Thames 020","E02000803",15,1,1,203,2
"Richmond upon Thames 021","E02000804",4,2,3,211,2
"Richmond upon Thames 022","E02000805",13,2,4,253,4
"Richmond upon Thames 023","E02000806",9,2,2,208,2
"Southwark 001","E02000807",45,6,2,134,8
"Southwark 002","E02000808",45,6,9,202,6
"Southwark 004","E02000810",23,32,8,148,7
"Southwark 006","E02000812",21,11,4,150,9
"Southwark 007","E02000813",44,11,4,111,7
"Southwark 008","E02000814",35,6,8,167,4
"Southwark 009","E02000815",33,6,4,94,4
"Southwark 010","E02000816",9,1,3,134,4
"Southwark 011","E02000817",6,2,3,68,3
"Southwark 012","E02000818",31,10,6,94,2
"Southwark 013","E02000819",12,12,3,63,3
"Southwark 014","E02000820",28,7,4,154,8
"Southwark 015","E02000821",4,7,9,47,5
"Southwark 016","E02000822",8,10,1,57,2
"Southwark 017","E02000823",17,14,4,129,2
"Southwark 018","E02000824",18,25,2,64,10
"Southwark 019","E02000825",10,11,3,39,0
"Southwark 020","E02000826",7,23,4,102,4
"Southwark 021","E02000827",18,22,8,113,17
"Southwark 022","E02000828",11,27,2,49,9
"Southwark 023","E02000829",8,68,4,89,7
"Southwark 024","E02000830",8,34,11,177,7
"Southwark 025","E02000831",11,55,7,151,7
"Southwark 026","E02000832",7,39,7,109,5
"Southwark 027","E02000833",20,10,2,116,6
"Southwark 028","E02000834",11,35,9,158,6
"Southwark 029","E02000835",6,26,4,132,5
"Southwark 030","E02000836",8,40,8,150,9
"Southwark 031","E02000837",11,12,4,163,4
"Southwark 032","E02000838",13,22,7,149,6
"Southwark 033","E02000839",10,12,3,184,3
"Southwark 034","E02006802",43,15,5,152,8
"Southwark 035","E02006941",32,2,9,144,4
"Southwark 036","E02006942",28,3,6,127,8
"Sutton 001","E02000840",9,7,1,107,5
"Sutton 002","E02000841",16,6,0,106,1
"Sutton 003","E02000842",13,0,3,191,4
"Sutton 004","E02000843",13,6,3,174,3
"Sutton 005","E02000844",9,11,4,173,3
"Sutton 006","E02000845",10,4,3,204,2
"Sutton 007","E02000846",11,7,1,194,3
"Sutton 008","E02000847",27,3,5,276,2
"Sutton 009","E02000848",10,1,5,208,2
"Sutton 010","E02000849",9,7,5,174,0
"Sutton 011","E02000850",14,10,4,212,1
"Sutton 012","E02000851",17,3,7,255,3
"Sutton 013","E02000852",16,3,3,244,2
"Sutton 014","E02000853",18,7,3,187,7
"Sutton 015","E02000854",11,5,2,180,3
"Sutton 016","E02000855",13,3,5,224,6
"Sutton 017","E02000856",13,9,5,203,4
"Sutton 018","E02000857",26,5,11,266,10
"Sutton 019","E02000858",7,4,2,69,0
